FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,d0,d1,Degradation,Evapotranspiration,g0,Growth,infil c,Infiltration,k et,k perc,r,Percolation,NDVI sim raw,NDVI sim,NDVI obs,Precipitation norm,precipitation,Soil Water,Vegetation Biomass
119,0,1,1,0.08,0.35,0.02519782349671744,0.0029989295885186886,0.01,0.030567558931255626,0.6,0.0011620088599891734,0.05,0.15,0.5,0.08375387483846843,0.10144356864482763,0.10879863354322458,0.103,0.004385195576178166,8.548,0.5583591655897895,0.1074193735263913
119,0,1,1,0.08,0.35,0.029836223733276098,0.0026661561599890834,0.01,0.02917663895989458,0.6,0.031154780322914553,0.05,0.15,0.5,0.07091525550341873,0.11703657972146866,0.10144356864482763,0.062,0.09848543015859822,124.961,0.47276837002279154,0.11278910896092949
119,0,1,1,0.08,0.35,0.03132679036187475,0.002412700719824411,0.01,0.027651209956778333,0.6,0.005073393047280717,0.05,0.15,0.5,0.06455126080234475,0.10358789350971472,0.11703657972146866,0.071,0.014843381818499476,21.486,0.4303417386822983,0.11212952418754797
119,0,1,1,0.08,0.35,0.03264920195136564,0.001997999125012646,0.01,0.02475394684453158,0.6,0.009922904239496785,0.05,0.15,0.5,0.055267675531111476,0.10503526485598504,0.10358789350971472,0.095,0.02618669048587426,35.519,0.36845117020740986,0.10845394378245155
119,0,1,1,0.08,0.35,0.03193865226852506,0.001614511980284351,0.01,0.021596017930622692,0.6,0.04195252071346672,0.05,0.15,0.5,0.04816625996861738,0.11653469826164586,0.10503526485598504,0.091,0.10299268371302578,130.537,0.32110839979078254,0.10055868867561749
119,0,1,1,0.08,0.35,0.028900888748468655,0.0014131449452498349,0.01,0.019660343800075437,0.6,0.10995582062457042,0.05,0.15,0.5,0.046992022283302126,0.14171958788595834,0.11653469826164586,0.099,0.26686239032616765,333.263,0.3132801485553475,0.09021605433771512
119,0,1,1,0.08,0.35,0.024196228744421455,0.0015176057561409949,0.01,0.020227313155750663,0.6,0.1593066488813722,0.05,0.15,0.5,0.0562246202927049,0.16604999192232145,0.14171958788595834,0.141,0.42470275614618275,528.53,0.374830801951366,0.08097550938932191
119,0,1,1,0.08,0.35,0.020272884587053903,0.001834278678175154,0.01,0.022218690698244448,0.6,0.11921594406896861,0.05,0.15,0.5,0.07145928371758384,0.15841614541678153,0.16604999192232145,0.182,0.37947178772947765,472.574,0.4763952247838923,0.07700659380065111
119,0,1,1,0.08,0.35,0.01951615197099295,0.0020619114272998522,0.01,0.023685752479188932,0.6,0.17797341874106604,0.05,0.15,0.5,0.07834764096856528,0.19724907629013255,0.15841614541678153,0.205,0.6209614768684275,771.325,0.5223176064571019,0.07895239991184166
119,0,1,1,0.08,0.35,0.01770843436568989,0.002576289402132328,0.01,0.026628037150275077,0.6,0.15129068693132522,0.05,0.15,0.5,0.09298222092034542,0.20444799794459845,0.19724907629013255,0.205,0.6633487368912167,823.763,0.6198814728023028,0.08312200042003764
119,0,1,1,0.08,0.35,0.017813292174432928,0.0031092281719364125,0.01,0.029760316898549043,0.6,0.13838775010995752,0.05,0.15,0.5,0.10134204741167253,0.21296788669899902,0.20444799794459845,0.167,0.7110232898658547,882.742,0.6756136494111502,0.09204160320462283
